ID;COUNTRY;STATE;LAT;LONG;DAY;MONTH;YEAR
167;EC;;-0.5257;-76.3925;19;3;2021
168;EC;;-0.7448;-75.9188;3;5;2023
169;EC;;-0.73;-75.9166;3;4;2023
170;EC;;-0.6637;-75.9167;2;8;2022
171;EC;;-0.5314;-76.3719;6;3;2020
172;EC;;-0.5255;-76.391;22;8;2021
173;EC;;-0.8515;-75.9258;1;2;2023
174;EC;;-0.7874;-75.8995;14;6;2022
175;EC;;-0.7832;-75.9058;20;3;2023
176;EC;;-0.5305;-76.3778;29;4;2020
177;EC;;-1.1035;-75.4917;10;12;2020
178;EC;;-0.6676;-75.9404;5;12;2022
179;EC;;-0.8466;-75.9239;22;3;2022
180;EC;;-0.7743;-75.9059;5;9;2020
181;EC;;-0.5272;-76.3853;16;1;2021
182;EC;;-0.6766;-75.9533;6;2;2023
183;EC;;-0.6741;-76.398;8;2;2021
184;EC;;-0.4996;-76.4415;8;9;2022
185;EC;;-0.5324;-76.3755;29;7;2021
186;EC;;-0.9747;-75.4343;28;9;2022
187;EC;;-0.8532;-75.9245;24;9;2023
188;EC;;-1.1079;-76.7301;22;6;2023
189;EC;;-0.8176;-75.6128;16;6;2020
190;EC;;-0.5304;-76.3781;14;3;2021
191;EC;;-0.8612;-75.9218;18;5;2022
192;EC;;-1.0374;-75.4284;16;6;2021
193;EC;;-0.8155;-75.6192;19;4;2022
194;EC;;-0.7638;-75.9058;24;8;2023
195;EC;;-1.1029;-75.492;13;9;2021
196;EC;;-0.6806;-76.3953;1;10;2023
197;EC;;-0.7911;-75.8983;4;5;2020
198;EC;;-0.5251;-76.3827;17;2;2021
199;EC;;-0.7382;-75.9215;1;9;2022
200;EC;;-0.7552;-75.9088;5;6;2022
201;EC;;-0.5305;-76.3778;4;3;2020
202;EC;;-0.6716;-75.9587;11;4;2021
203;EC;;-0.5291;-76.3878;24;2;2023
204;EC;;-0.5319;-76.388;14;2;2021
205;EC;;-0.8152;-75.6193;16;12;2020
206;EC;;-0.6645;-75.9151;10;6;2022
207;EC;;-0.7546;-75.9088;14;1;2023
208;EC;;-0.7884;-75.8987;21;9;2023
209;EC;;-0.6843;-75.9431;5;10;2022
210;EC;;-0.7171;-76.653;2;5;2022
211;EC;;-0.8508;-75.9252;17;7;2023
212;EC;;-0.5252;-76.3833;4;3;2022
213;EC;;-0.7495;-75.9165;26;6;2023
214;EC;;-1.587;-75.6149;7;9;2021
215;EC;;-0.5278;-76.3917;26;6;2023
216;EC;;-1.0347;-75.4315;20;4;2022
217;EC;;-0.6828;-75.9452;20;2;2023
218;EC;;-0.6719;-75.9587;6;2;2023
219;EC;;-0.8616;-75.9228;29;6;2021
220;EC;;-0.7688;-75.906;22;2;2022
221;EC;;-1.1225;-75.497;13;12;2020
222;EC;;-0.5334;-76.3662;20;9;2021
223;EC;;-0.5221;-76.3575;14;4;2021
224;EC;;-0.5254;-76.3908;22;8;2022
225;EC;;-0.5252;-76.3834;15;3;2022
226;EC;;-0.9987;-76.8955;8;8;2022
227;EC;;-0.7475;-75.9168;9;6;2023
228;EC;;-0.7381;-75.9215;16;5;2022
229;EC;;-0.5338;-76.3669;31;7;2020
230;EC;;-0.7843;-75.9047;27;8;2022
231;EC;;-0.9757;-75.4338;27;7;2021
232;EC;;-1.192;-76.9463;20;10;2021
233;EC;;-0.7817;-75.9059;3;3;2020
234;EC;;-0.5575;-76.3886;27;9;2020
235;EC;;-0.8164;-75.9086;31;7;2023
236;EC;;-0.978;-75.6359;9;2;2023
237;EC;;-0.7837;-75.9063;12;5;2022
238;EC;;-0.5297;-76.3873;6;7;2020
239;EC;;-0.6437;-75.9166;23;7;2022
240;EC;;-0.9761;-75.4416;17;6;2023
241;EC;;-0.532;-76.3701;4;3;2020
242;EC;;-0.739;-75.9219;21;3;2023
243;EC;;-0.8556;-75.6181;9;3;2020
244;EC;;-0.9801;-75.4265;8;8;2021
245;EC;;-0.7764;-75.9059;28;5;2023
246;EC;;-0.5245;-76.3896;18;2;2021
247;EC;;-0.8908;-76.8147;22;2;2021
248;EC;;-0.7546;-75.9089;3;5;2023
249;EC;;-0.7642;-75.9059;21;3;2023
250;EC;;-0.8512;-75.9256;6;6;2022
251;EC;;-0.7517;-75.9141;22;12;2022
252;EC;;-0.5303;-76.3781;15;1;2021
253;EC;;-0.5347;-76.4011;15;2;2020
254;EC;;-0.7603;-75.9072;12;1;2022
255;EC;;-0.8238;-75.6174;3;7;2023
