ID;Country_Code;Province;Latitude;Longitude;Date;Day;Month;Year
87;CO;Santander;7.08723;-73.67059;12/15/2020;15;12;2020
88;CO;Santander;7.0871;-73.671317;9/28/2023;28;9;2023
89;CO;Santander;7.0871;-73.671317;10/4/2023;4;10;2023
90;CO;Santander;7.0871;-73.671317;10/16/2023;16;10;2023
91;CO;Santander;7.006967;-73.702233;9/5/2023;5;9;2023
92;CO;Santander;7.0908;-73.6695;9/28/2023;28;9;2023
93;CO;Santander;7.08775;-73.670233;9/28/2023;28;9;2023
94;CO;Santander;7.08775;-73.670233;10/4/2023;4;10;2023
95;CO;Santander;7.0908;-73.6695;11/28/2022;28;11;2022
96;CO;Santander;7.0908;-73.6695;10/4/2023;4;10;2023
97;CO;Santander;7.0908;-73.6695;11/7/2022;7;11;2022
98;CO;Santander;7.0908;-73.6695;10/16/2023;16;10;2023
99;CO;Santander;7.0908;-73.6695;11/14/2022;14;11;2022
100;CO;Santander;7.0872;-73.67055;1/27/2023;27;1;2023
101;CO;Santander;7.0872;-73.67055;1/28/2023;28;1;2023
102;CO;Santander;7.0872;-73.67055;2/12/2023;12;2;2023
103;CO;Santander;7.0872;-73.67055;1/24/2023;24;1;2023
104;CO;Santander;7.08775;-73.670233;1/28/2023;28;1;2023
105;CO;Santander;7.08775;-73.670233;1/29/2023;29;1;2023
106;CO;Santander;7.0908;-73.6695;1/3/2023;3;1;2023
107;CO;Santander;7.0908;-73.6695;1/12/2023;12;1;2023
108;CO;Santander;7.0872;-73.67055;6/4/2022;4;6;2022
109;CO;Santander;7.0871;-73.671317;5/11/2022;11;5;2022
110;CO;Santander;7.0871;-73.671317;5/12/2022;12;5;2022
111;MX;Campeche;17.891654;-89.548375;2024-05-03T00:56:28;3;5;2024
112;MX;Campeche;17.992404;-89.433595;2024-05-02T14:51:16;2;5;2024
113;GT;Peten;17.457022;-89.392291;2024-04-30T09:49;30;4;2024
114;CO;Meta;3.529729;-73.41805;11/24/2022;24;11;2022
115;MX;Quintana Roo;18.535145;-89.02719;2024-04-03T09:45;3;4;2024
116;GT;Peten;17.236288;-89.521629;2024-03-19T04:55;19;3;2024
117;GT;Peten;17.483313;-89.130816;2023-10-25T14:59:45;25;10;2023
118;GF;;4.46131;-52.51543;3/7/2021;7;3;2021
119;BR;Mato Grosso do Sul;-17.636722;-55.839454;2023-07-02T08:28;2;7;2023
120;BR;Mato Grosso do Sul;-17.623381;-55.938015;2023-07-02T08:29;2;7;2023
121;EC;;-0.8358;-75.9203;8/16/2022;16;8;2022
122;EC;;-0.7348;-75.9193;1/14/2023;14;1;2023
123;EC;;-0.7388;-75.9217;2/1/2023;1;2;2023
